invalid,name,category_l,category_view,category_s,category,lunch,walking,distance,url
×,韓国旬彩料理 妻家房 アトレ恵比寿店,アジア・エスニック料理,韓国料理,韓国料理,韓国料理,1000,10,507.5118793,http://r.gnavi.co.jp/r36xxwcw0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,es 一軒家イタリアンレストラン,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),イタリアン,-1,,514.079525,https://r.gnavi.co.jp/3rk306dx0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
×,プロント PRONTO 恵比寿東口店,ダイニングバー・バー・ビアホール,バル,スペインバル・イタリアンバール,カフェ ダイニングバー,1000,,516.4466758,https://r.gnavi.co.jp/frx6hmwn0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,炭火串焼 りあん,居酒屋,居酒屋,居酒屋,焼鳥居酒屋,800,9,521.4587121,https://r.gnavi.co.jp/reaubj2b0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,産直かきと炉端焼 恵比寿 牡蠣ツ端,居酒屋,居酒屋,居酒屋,ろばた焼き,880,9,521.4587121,https://r.gnavi.co.jp/mc8gyf4t0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,ル・キャトルズ 恵比寿,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),恵比寿フレンチビストロ,3000,9,523.6290398,https://r.gnavi.co.jp/dkyru9370000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,Nha Viet Nam ヴェトナム館 恵比寿本店,アジア・エスニック料理,ベトナム料理,ベトナム料理,恵比寿ベトナム料理宴会,980,9,526.3970776,https://r.gnavi.co.jp/g158610/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,恵比寿 箸庵,居酒屋,居酒屋,居酒屋,和食居酒屋・蕎麦,1200,10,526.9525161,https://r.gnavi.co.jp/5nghc0tb0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,春秋 ユラリ 恵比寿店,日本料理・郷土料理,郷土料理,郷土料理,素材料理・新和食,1500,10,531.7143516,https://r.gnavi.co.jp/g991207/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,チーズ×肉バル Tefu Tefu 恵比寿店,居酒屋,居酒屋,居酒屋,恵比寿 居酒屋 合コン,1000,9,532.8657431,https://r.gnavi.co.jp/dbz07yfn0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,八寸場 こうじや,日本料理・郷土料理,郷土料理,郷土料理,恵比寿和食ダイニング,1000,9,535.8871362,https://r.gnavi.co.jp/1hv8t77a0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,ラ・エスキーナ,アジア・エスニック料理,メキシコ料理,メキシコ料理,メキシコ料理,1000,8,536.5139477,https://r.gnavi.co.jp/gmk3vp170000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
×,つばめグリル アトレ恵比寿店,焼き鳥・肉料理・串料理,ハンバーグ,ハンバーグ,欧風レストラン,1300,,525.9638782,https://r.gnavi.co.jp/g533108/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
×,タント タント オステリア 恵比寿アトレ店,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),恵比寿ワインイタリアン,1200,,548.7218062,https://r.gnavi.co.jp/g188308/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
×,ワインの酒場 ディプント 恵比寿店,お酒,ワイン,ワイン,気軽なワインの酒場,800,,551.3870652,https://r.gnavi.co.jp/g897471/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,恵比寿 鮪家,すし・魚料理・シーフード,寿司,寿司,築地マグロ問屋直営,1000,10,557.9700947,https://r.gnavi.co.jp/k9vnh28c0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
×,中華旬彩料理 東方紅 アトレ恵比寿店,中華,中華料理,中華料理,中華創作料理,1500,,558.3026287,https://r.gnavi.co.jp/gd20701/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
×,SAN TROPEZ,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),ビストロ＆カフェ,1500,,561.2794397,https://r.gnavi.co.jp/fghzdnx30000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,クンビラ,アジア・エスニック料理,ネパール料理,ネパール料理,医食同源のヒマラヤ鍋,1000,10,564.8485755,https://r.gnavi.co.jp/e816200/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,恵比寿地酒 個室居酒屋 五右衛門屋,居酒屋,居酒屋,居酒屋,居酒屋,-1,10,567.1073629,https://r.gnavi.co.jp/fhykdwgd0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,beer bar HB,ダイニングバー・バー・ビアホール,ビアホール,ビアホール,ビアバー スポーツ,-1,10,572.4131122,https://r.gnavi.co.jp/3rsbdxkc0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,馬ぃ焼肉×ワイン 恵比寿 Whim,ダイニングバー・バー・ビアホール,バル,スペインバル・イタリアンバール,熊本直送生レバ刺し,-1,10,572.7775237,https://r.gnavi.co.jp/sarzzzyg0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,ソナム,焼肉・ホルモン,焼肉,焼肉,古民家個室空間,800,10,573.3665754,https://r.gnavi.co.jp/a769600/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
×,Abbesses,イタリアン・フレンチ,フレンチ,フレンチ(フランス料理),フレンチ,-1,,575.3538128,https://r.gnavi.co.jp/ktt03pd90000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,BISTROT SYU,イタリアン・フレンチ,フレンチ,フレンチ(フランス料理),洋食 フレンチ,3500,8,578.4431202,https://r.gnavi.co.jp/4gn2ezne0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
×,恵比寿 Porto Bello【ポルトベッロ】,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),一軒家イタリアン,1000,,582.3759608,https://r.gnavi.co.jp/2zvrpgr80000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,ラーチャプルック 恵比寿,アジア・エスニック料理,タイ料理,タイ料理,タイリゾートダイニング,1200,10,582.3565026,https://r.gnavi.co.jp/1duz5jnh0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,Porco Rosso,イタリアン・フレンチ,ビストロ,ビストロ,ビストロ,-1,,582.6172689,https://r.gnavi.co.jp/kr1v07u00000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,新宿うな鐵 恵比寿店,すし・魚料理・シーフード,うなぎ,うなぎ,鰻専門料理屋,2500,,588.9183431,https://r.gnavi.co.jp/js1tvstr0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,dot．Grill and Bar,宴会・カラオケ・エンターテイメント,パーティースペース,パーティールーム・スペース,お洒落貸切グリルバー,1000,10,598.214931,https://r.gnavi.co.jp/6c06bazc0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,Artichaut,イタリアン・フレンチ,フレンチ,フレンチ(フランス料理),フレンチ,-1,10,602.8917678,https://r.gnavi.co.jp/39czcp460000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,肉バル Salt 恵比寿,ダイニングバー・バー・ビアホール,バル,スペインバル・イタリアンバール,肉バル・肉ビストロ,950,10,604.7275908,https://r.gnavi.co.jp/ssz6rvgm0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,紀風,日本料理・郷土料理,郷土料理,郷土料理,日本料理,8000,10,605.1856745,https://r.gnavi.co.jp/ecpu1vfr0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,貸切＆パーティー RB ～ローズブルー～ 恵比寿店,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),カフェ&ダイニングバー,1000,10,608.6953357,https://r.gnavi.co.jp/p942402/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
